timestamp,timeframe,strategy_name,strategy_signal,ml_prediction,ml_confidence,decision,confidence,reason,risk_assessment,model,cached,prompt_hash,error
2025-07-17 04:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.34164241245185406,HOLD,70,"Strategy signals LONG but model predicts SHORT with moderate confidence; mixed momentum and low volume increase uncertainty. Volatility is moderate relative to target, suggesting cautious approach.",MODERATE,gpt-4.1-mini,False,edb5b8f483f06ffa93b5b466d98eda24,
2025-07-18 20:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3565466355948781,HOLD,70,Strategy signals LONG but model predicts SHORT with moderate confidence; indicators show weak trend and low volume; volatility is moderate relative to target; conflicting signals advise caution.,MODERATE,gpt-4.1-mini,False,408ffb986714d0dc09c99873e961a4b4,
2025-07-21 00:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.38231865850046604,HOLD,60,Strategy signals LONG but model predicts SHORT with moderate confidence; low ADX indicates weak trend; volatility is moderate relative to target; mixed signals advise caution.,MODERATE,gpt-4.1-mini,False,4cbb3ac369c42ba598e8de880bc62472,
2025-07-22 04:00:00+00:00,4h,ema_rsi_trend,LONG,SHORT,0.3738500548333421,HOLD,70,"Strategy signals LONG but model predicts SHORT with moderate confidence; low ADX indicates weak trend; volatility is moderate relative to stop and target distances, increasing risk.",MODERATE,gpt-4.1-mini,False,18248da1947b367241a16dcd75cb4293,
2025-07-26 12:00:00+00:00,4h,ema_rsi_trend,LONG,HOLD,0.36574644060851086,HOLD,70,Strategy signals LONG but model predicts HOLD with low confidence; weak trend strength (ADX 16.9) and low volume reduce conviction. Volatility and reward:risk are moderate but evidence is mixed.,MODERATE,gpt-4.1-mini,False,2661119ff38747ca0126d0e1e10badc0,
2025-07-29 00:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.39437926045994337,HOLD,50,"Both strategy and model suggest LONG but model confidence is low and trend strength (ADX) is weak, indicating uncertain momentum. Volatility is moderate relative to stop distance, increasing risk.",MODERATE,gpt-4.1-mini,False,b8712209696c7036e27ccded65b8b75b,
2025-07-31 00:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.3573173888235965,HOLD,60,"Strategy and model agree on LONG but model confidence is low and trend strength (ADX) is weak; volatility is moderate relative to target, suggesting caution.",MODERATE,gpt-4.1-mini,False,44eacb77c61f7ffc6f09ce5bce64adc9,
2025-08-01 00:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.4768607478640092,SHORT,70,"Both strategy and model signal SHORT with moderate confidence; volume is high and recent returns are negative, supporting a short bias despite moderate trend strength and low RSI.",MODERATE,gpt-4.1-mini,False,24cf54e7f908e50ffb728f2eb128e9cb,
2025-08-07 00:00:00+00:00,4h,ema_rsi_trend,SHORT,SHORT,0.34788577594744896,HOLD,40,"Both strategy and model suggest SHORT but model confidence is low and trend strength (ADX) is weak; volatility is moderate relative to target, and volume is below average, indicating insufficient conviction.",MODERATE,gpt-4.1-mini,False,f5e43e84a9718f839e7b7812565e048c,
2025-08-07 20:00:00+00:00,4h,ema_rsi_trend,LONG,LONG,0.42563854743622676,HOLD,60,Both strategy and model suggest LONG but model confidence is low and volume is below average; moderate trend strength and volatility near stop distance advise caution.,MODERATE,gpt-4.1-mini,False,9e1854d298d6b3cf8ff6566f00acedce,
2025-08-16 20:00:00+00:00,4h,ema_rsi_trend,SHORT,HOLD,0.6200964998553736,HOLD,75,"Strategy signals SHORT but model predicts HOLD with moderate confidence; low volume and moderate trend strength reduce conviction. Volatility is moderate relative to target, increasing risk.",MODERATE,gpt-4.1-mini,False,c07ebd0bfb2f9716d7fbfd63dd5f614d,
